 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
  130,   relocation,            1.22889,            1.22889,             3.4682,            83.5395,                  0,       0.000123/0.027678,       0.000030/0.010863,      -0.000000/0.014914,       0.000155/0.030607,                 0.0/0.0,
  131,   relocation,            1.39213,            1.39213,            3.41053,            84.7364,                  0,      -0.000252/0.027881,       0.000235/0.011560,       0.000000/0.014789,      -0.000353/0.030824,                 0.0/0.0,
  132,   relocation,            1.14476,            1.14476,            3.29133,            77.9255,                  0,       0.000284/0.026739,       0.000270/0.010482,      -0.000000/0.014529,       0.000335/0.029560,                 0.0/0.0,
  133,   relocation,            1.34861,            1.34861,             3.2395,            79.7844,                  0,      -0.000336/0.027063,       0.000174/0.011379,       0.000000/0.014414,      -0.000454/0.029909,                 0.0/0.0,
  134,   relocation,           0.999411,           0.999411,            3.13513,            70.4643,                  0,       0.000174/0.025449,       0.000184/0.009795,      -0.000000/0.014180,       0.000203/0.028110,                 0.0/0.0,
  135,   relocation,            1.28049,            1.28049,            3.10385,            73.8473,                  0,      -0.000433/0.026058,       0.000076/0.011089,       0.000000/0.014109,      -0.000568/0.028772,                 0.0/0.0,
  136,   relocation,           0.984518,           0.984518,             3.0387,            65.8957,                  0,      -0.000104/0.024638,      -0.000142/0.009722,      -0.000000/0.013960,      -0.000118/0.027184,                 0.0/0.0,
  137,   relocation,            1.07407,            1.07407,            2.95565,            66.7456,                  0,      -0.000467/0.024784,       0.000185/0.010154,       0.000000/0.013768,      -0.000625/0.027352,                 0.0/0.0,
  138,   relocation,           0.945453,           0.945453,            2.89231,            61.6407,                  0,      -0.000121/0.023843,       0.000099/0.009528,      -0.000000/0.013619,      -0.000168/0.026291,                 0.0/0.0,
  139,   relocation,            1.04437,            1.04437,             2.8428,            62.4749,                  0,      -0.000363/0.024001,       0.000189/0.010013,       0.000000/0.013502,      -0.000491/0.026465,                 0.0/0.0,
  140,   relocation,           0.903564,           0.903564,            2.77488,            58.1908,                  0,       0.000077/0.023177,       0.000029/0.009315,       0.000000/0.013340,       0.000097/0.025545,                 0.0/0.0,
  141,   relocation,            0.87679,            0.87679,            2.74954,            61.2291,                  0,      -0.000337/0.023727,       0.000279/0.009172,       0.000000/0.013279,      -0.000468/0.026200,                 0.0/0.0,
  142,   relocation,           0.909725,           0.909725,            2.62428,            54.4241,                  0,       0.000074/0.022432,       0.000035/0.009347,       0.000000/0.012973,       0.000092/0.024705,                 0.0/0.0,
  143,   relocation,           0.883241,           0.883241,            2.62509,            52.7486,                  0,      -0.000333/0.022098,       0.000132/0.009209,       0.000000/0.012975,      -0.000446/0.024317,                 0.0/0.0,
  144,   relocation,           0.834232,           0.834232,            2.51086,            50.6033,                  0,      -0.000069/0.021642,       0.000073/0.008950,       0.000000/0.012690,      -0.000097/0.023822,                 0.0/0.0,
  145,   relocation,           0.908463,           0.908463,            2.51568,            50.0256,                  0,      -0.000224/0.021541,       0.000135/0.009339,       0.000000/0.012702,      -0.000305/0.023684,                 0.0/0.0,
